QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 9.2	 mr: 0.51	 nc: 0.2	 nm: 0.1	 bmp: 0.58	 cc: 2.65
	Repetition 0
		Population 0
			Robot 2 	f:430.00 	mf: 295.05
			Robot 3 	f:262.45 	mf: 25.31
			Robot 4 	f:548.49 	mf: 341.64
			Robot 5 	f:583.00 	mf: 422.94
			Robot 6 	f:417.04 	mf: 398.07
			Robot 7 	f:517.72 	mf: 392.36
			Robot 8 	f:404.66 	mf: 403.52
			Robot 9 	f:566.77 	mf: 527.27
		Population 11
			Robot 0 	f:556.11 	mf: 436.27
			Robot 1 	f:458.41 	mf: 429.69
			Robot 2 	f:577.69 	mf: 420.62
			Robot 3 	f:466.95 	mf: 26.23
			Robot 4 	f:144.68 	mf: 302.35
			Robot 5 	f:559.92 	mf: 435.95
			Robot 6 	f:544.13 	mf: 401.95
			Robot 7 	f:543.63 	mf: 422.57
			Robot 8 	f:530.28 	mf: 411.92
			Robot 9 	f:578.19 	mf: 538.09
		Population 12
			Robot 0 	f:437.16 	mf: 419.36
			Robot 1 	f:443.20 	mf: 421.83
			Robot 2 	f:545.70 	mf: 463.06
			Robot 3 	f:342.62 	mf: 443.95
			Robot 4 	f:467.73 	mf: 321.26
			Robot 5 	f:572.65 	mf: 462.36
			Robot 6 	f:249.58 	mf: 401.06
			Robot 7 	f:580.49 	mf: 438.01
			Robot 8 	f:173.44 	mf: 422.09
			Robot 9 	f:496.70 	mf: 530.28
		Population 13
			Robot 0 	f:555.01 	mf: 433.38
			Robot 1 	f:448.90 	mf: 416.26
			Robot 2 	f:231.98 	mf: 449.33
			Robot 3 	f:577.52 	mf: 456.62
			Robot 4 	f:123.85 	mf: 288.09
			Robot 5 	f:441.11 	mf: 485.53
			Robot 6 	f:439.37 	mf: 436.51
			Robot 7 	f:493.28 	mf: 430.86
			Robot 8 	f:375.78 	mf: 417.40
			Robot 9 	f:540.29 	mf: 528.29
		Population 14
			Robot 0 	f:445.54 	mf: 438.00
			Robot 1 	f:96.47 	mf: 398.17
			Robot 2 	f:292.19 	mf: 422.25
			Robot 3 	f:448.59 	mf: 442.60
			Robot 4 	f:406.05 	mf: 270.02
			Robot 5 	f:441.51 	mf: 496.46
			Robot 6 	f:561.24 	mf: 453.57
