QtdRobots: 15
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -10
PointsMoving: 10
MaxPopulation: 500
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 3	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 1
	Repetition 0
		Population 0
			Robot 14 	f: 0.00 	ga0: 0.57 	ga1: 6.90 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.00 	gb0: 0.03 	gb1: 0.74 	gb2: -0.20 	gb3: -0.73 	gb4: 0.37 	gb5: 5.79 	gb6: -5.20 	gb7: -1.62 	gb8: 2.81 	gb9: 3.39
		Population 4
			Robot 0 	f: 0.00 	ga0: 0.57 	ga1: 5.24 	ga2: 0.13 	ga3: 0.07 	ga4: 0.11 	ga5: 0.19 	ga6: 0.00 	gb0: -0.13 	gb1: 0.26 	gb2: 0.46 	gb3: -0.66 	gb4: 0.52 	gb5: 2.44 	gb6: -1.83 	gb7: -0.09 	gb8: 0.62 	gb9: 0.77
			Robot 1 	f: 0.00 	ga0: 0.42 	ga1: 4.95 	ga2: 0.22 	ga3: 0.01 	ga4: 0.01 	ga5: 0.00 	ga6: 0.00 	gb0: 0.26 	gb1: -0.07 	gb2: 0.21 	gb3: -0.63 	gb4: 0.62 	gb5: 1.79 	gb6: -1.31 	gb7: -0.80 	gb8: 1.16 	gb9: 0.58
			Robot 2 	f: 0.00 	ga0: 0.54 	ga1: 6.11 	ga2: 0.20 	ga3: 0.09 	ga4: 0.14 	ga5: 0.09 	ga6: 0.19 	gb0: 0.18 	gb1: 0.68 	gb2: -0.33 	gb3: -0.15 	gb4: -0.23 	gb5: 2.00 	gb6: -2.04 	gb7: -1.06 	gb8: 1.07 	gb9: 0.65
			Robot 3 	f: 0.00 	ga0: 0.56 	ga1: 6.48 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.00 	ga6: 0.09 	gb0: 0.40 	gb1: -0.17 	gb2: -0.41 	gb3: -0.01 	gb4: -0.34 	gb5: 1.48 	gb6: -2.08 	gb7: -0.53 	gb8: 0.74 	gb9: 1.26
			Robot 4 	f: 0.00 	ga0: 0.64 	ga1: 5.20 	ga2: 0.01 	ga3: 0.03 	ga4: 0.23 	ga5: 0.00 	ga6: 0.00 	gb0: 0.16 	gb1: -0.22 	gb2: -0.42 	gb3: 0.03 	gb4: -0.05 	gb5: 1.88 	gb6: -1.79 	gb7: -0.72 	gb8: 1.37 	gb9: 0.86
			Robot 5 	f: 0.00 	ga0: 0.57 	ga1: 6.73 	ga2: 0.00 	ga3: 0.06 	ga4: 0.00 	ga5: 0.00 	ga6: 0.03 	gb0: 0.19 	gb1: 0.78 	gb2: 0.17 	gb3: -0.13 	gb4: 0.01 	gb5: 1.63 	gb6: -2.24 	gb7: -0.16 	gb8: 1.39 	gb9: 1.01
			Robot 6 	f: 0.00 	ga0: 0.44 	ga1: 6.94 	ga2: 0.05 	ga3: 0.05 	ga4: 0.00 	ga5: 0.11 	ga6: 0.00 	gb0: 0.13 	gb1: 0.36 	gb2: 0.17 	gb3: 0.11 	gb4: 0.07 	gb5: 2.35 	gb6: -1.33 	gb7: -0.28 	gb8: 1.24 	gb9: 0.72
			Robot 7 	f: 0.00 	ga0: 0.58 	ga1: 2.84 	ga2: 0.00 	ga3: 0.00 	ga4: 0.00 	ga5: 0.03 	ga6: 0.01 	gb0: 0.38 	gb1: 0.66 	gb2: 0.17 	gb3: -0.04 	gb4: 0.62 	gb5: 1.88 	gb6: -1.43 	gb7: -0.60 	gb8: 1.05 	gb9: 1.46
			Robot 8 	f: 0.00 	ga0: 0.58 	ga1: 6.87 	ga2: 0.01 	ga3: 0.10 	ga4: 0.01 	ga5: 0.00 	ga6: 0.00 	gb0: 0.16 	gb1: -0.15 	gb2: 0.36 	gb3: 0.22 	gb4: 0.65 	gb5: 2.03 	gb6: -1.68 	gb7: -0.53 	gb8: 0.35 	gb9: 1.51
			Robot 9 	f: 0.00 	ga0: 0.56 	ga1: 6.70 	ga2: 0.01 	ga3: 0.14 	ga4: 0.19 	ga5: 0.00 	ga6: 0.00 	gb0: -0.06 	gb1: 0.58 	gb2: -0.48 	gb3: -0.11 	gb4: -0.03 	gb5: 1.86 	gb6: -1.85 	gb7: -0.03 	gb8: 0.78 	gb9: 1.43
