QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 70
PointsCollision: -50
PointsMoving: 10
MaxPopulation: 60
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 5	 mr: 0.2	 nc: 0.5	 nm: 0.5	 bmp: 1	 cc: 2
	Repetition 0
		Population 0
			Robot 4 	f: 337.46 	mf: 256.80
			Robot 5 	f: 68.05 	mf: 263.80
			Robot 6 	f: 329.75 	mf: 244.40
			Robot 7 	f: 321.10 	mf: 295.00
			Robot 8 	f: 309.84 	mf: 301.20
			Robot 9 	f: 320.93 	mf: 255.80
		Population 46
			Robot 0 	f: 347.24 	mf: 345.80
			Robot 1 	f: 194.74 	mf: 195.60
			Robot 2 	f: 361.99 	mf: 260.60
			Robot 3 	f: 344.61 	mf: 284.60
			Robot 4 	f: 364.09 	mf: 273.20
			Robot 5 	f: 308.32 	mf: 264.20
			Robot 6 	f: 333.73 	mf: 305.60
			Robot 7 	f: 342.93 	mf: 322.20
			Robot 8 	f: 326.51 	mf: 297.00
			Robot 9 	f: 222.26 	mf: 299.00
		Population 47
			Robot 0 	f: 305.14 	mf: 339.40
			Robot 1 	f: 343.00 	mf: 228.00
			Robot 2 	f: 299.21 	mf: 255.60
			Robot 3 	f: 318.49 	mf: 283.20
			Robot 4 	f: 361.10 	mf: 338.40
			Robot 5 	f: 311.36 	mf: 271.20
			Robot 6 	f: 219.30 	mf: 279.60
			Robot 7 	f: 313.09 	mf: 319.80
			Robot 8 	f: 336.47 	mf: 314.80
			Robot 9 	f: 176.98 	mf: 273.40
		Population 48
			Robot 0 	f: 314.85 	mf: 331.20
			Robot 1 	f: 344.66 	mf: 238.20
			Robot 2 	f: 291.92 	mf: 312.80
			Robot 3 	f: 195.23 	mf: 319.60
			Robot 4 	f: 248.18 	mf: 332.40
			Robot 5 	f: 339.90 	mf: 270.40
			Robot 6 	f: 325.29 	mf: 282.20
			Robot 7 	f: 161.00 	mf: 285.40
			Robot 8 	f: 294.22 	mf: 317.80
			Robot 9 	f: 320.17 	mf: 273.80
		Population 49
			Robot 0 	f: 324.28 	mf: 327.20
			Robot 1 	f: 344.25 	mf: 307.00
			Robot 2 	f: 308.63 	mf: 318.40
			Robot 3 	f: 313.38 	mf: 305.40
			Robot 4 	f: 333.31 	mf: 328.60
			Robot 5 	f: 287.33 	mf: 262.60
			Robot 6 	f: 332.45 	mf: 307.60
			Robot 7 	f: 284.84 	mf: 284.20
			Robot 8 	f: 319.92 	mf: 316.80
			Robot 9 	f: 315.03 	mf: 270.60
		Population 50
			Robot 0 	f: 85.67 	mf: 275.00
			Robot 1 	f: 270.45 	mf: 299.00
			Robot 2 	f: 339.02 	mf: 319.60
			Robot 3 	f: 347.29 	mf: 303.40
			Robot 4 	f: 0.14 	mf: 261.20
			Robot 5 	f: 283.83 	mf: 305.60
			Robot 6 	f: 0.00 	mf: 241.80
			Robot 7 	f: 241.50 	mf: 268.20
			Robot 8 	f: 36.40 	mf: 262.20
			Robot 9 	f: 337.75 	mf: 274.00
		Population 51
			Robot 0 	f: 351.04 	mf: 275.80
			Robot 1 	f: 291.68 	mf: 318.40
			Robot 2 	f: 277.50 	mf: 302.80
			Robot 3 	f: 358.27 	mf: 306.20
			Robot 4 	f: 321.00 	mf: 252.60
			Robot 5 	f: 13.61 	mf: 246.60
			Robot 6 	f: 323.63 	mf: 239.80
			Robot 7 	f: 260.68 	mf: 251.80
			Robot 8 	f: 288.08 	mf: 254.60
			Robot 9 	f: 266.05 	mf: 282.80
		Population 52
			Robot 0 	f: 329.40 	mf: 280.60
			Robot 1 	f: 344.40 	mf: 318.60
			Robot 2 	f: 214.41 	mf: 285.80
			Robot 3 	f: 306.57 	mf: 303.80
			Robot 4 	f: 330.74 	mf: 246.40
			Robot 5 	f: 188.43 	mf: 222.00
			Robot 6 	f: 335.85 	mf: 263.00
			Robot 7 	f: 132.64 	mf: 215.60
