QtdRobots: 10
QtdEnvironments: 10
QtdRepetitions: 10
QtdObstacles: 50
PointsCollision: -100
PointsMoving: 10
MaxPopulation: 40
MaxTime: 600
EnvMutationRate: 0.2

Environment 0	 h: 6.86	 mr: 0.58	 nc: 0.6	 nm: 0.59	 bmp: 0.62	 cc: 0.03
	Repetition 0
		Population 0
			Robot 3 	f: 558.30 	mf: 467.56
			Robot 4 	f: 467.74 	mf: 432.15
			Robot 5 	f: 303.00 	mf: 358.07
			Robot 6 	f: 457.27 	mf: 520.59
			Robot 7 	f: 442.53 	mf: 468.76
			Robot 8 	f: 388.75 	mf: 413.69
			Robot 9 	f: 460.16 	mf: 356.13
		Population 10
			Robot 0 	f: 495.21 	mf: 430.14
			Robot 1 	f: 409.84 	mf: 386.17
			Robot 2 	f: 535.46 	mf: 493.39
			Robot 3 	f: 324.22 	mf: 441.91
			Robot 4 	f: 475.07 	mf: 455.51
			Robot 5 	f: 397.71 	mf: 353.77
			Robot 6 	f: 461.87 	mf: 511.46
			Robot 7 	f: 373.22 	mf: 452.88
			Robot 8 	f: 424.38 	mf: 414.43
			Robot 9 	f: 270.23 	mf: 352.04
		Population 11
			Robot 0 	f: 510.52 	mf: 453.60
			Robot 1 	f: 172.50 	mf: 368.53
			Robot 2 	f: 534.75 	mf: 503.22
			Robot 3 	f: 522.08 	mf: 436.63
			Robot 4 	f: 471.41 	mf: 456.47
			Robot 5 	f: 448.99 	mf: 376.64
			Robot 6 	f: 535.74 	mf: 509.44
			Robot 7 	f: 450.43 	mf: 452.47
			Robot 8 	f: 462.57 	mf: 409.29
			Robot 9 	f: 518.81 	mf: 369.72
		Population 12
			Robot 0 	f: 531.23 	mf: 490.44
			Robot 1 	f: 518.23 	mf: 384.30
			Robot 2 	f: 546.40 	mf: 525.97
			Robot 3 	f: 539.59 	mf: 433.21
			Robot 4 	f: 462.59 	mf: 446.65
			Robot 5 	f: 453.57 	mf: 378.66
